"Timepoint","Group","Fish","Flowspeed","Avg_YPosition [px]","Distance [px]","Activity [%]","Flow-Adjusted Activity [%]","Efficiency","Swimming Against Flow [%]","Flow-Adjusted Swimming Against Flow [%]","Burst Duration [frames]","Burst Frequency [bursts/min]","Burst Amplitude [pixels]","Time in Y-Quadrant 1 [%]","Time in Y-Quadrant 2 [%]","Time in Y-Quadrant 3 [%]","Time in Y-Quadrant 4 [%]"
"6","DoubleHets","6_D_1","0 cps",1325.6894935,42711.0196786351,35.8940176637227,35.8940176637227,41.1475222647377,13.164472587902,NA,12.5396825396825,12.5979003499417,202.954880748766,21.0166666666667,3.06666666666667,11.7833333333333,64.1333333333333
"6","DoubleHets","6_D_1","10 cps",752.243669833333,58439.2142193562,42.0833333333333,31.7333333333333,9.6830620733585,17.0333333333333,30.75,7.92248062015504,25.8,188.790375725212,53.2666666666667,4.05,9.53333333333333,33.15
"6","DoubleHets","6_D_1","20 cps",1313.90388101983,61274.6493669771,40.2766205632395,72.5879020163306,28.1738602569525,16.0639893351108,72.5379103482753,5.73809523809524,33.5944009331778,168.313839867797,12.9311781369772,3.38276953841026,31.3947675387435,52.291284785869
"6","DoubleHets","6_D_10","0 cps",949.744360666667,42505.6917221069,30.3616063989335,30.3616063989335,33.1992026937169,10.1649725045826,NA,9.53125,12.797867022163,175.258819719576,32.35,4.36666666666667,6.83333333333333,56.45
"6","DoubleHets","6_D_10","10 cps",1228.34723066667,65697.9354404454,60.5666666666667,48.35,21.073180491957,22.9,47.55,7.54395604395604,36.4,149.469405856391,30.2166666666667,3.86666666666667,6.85,59.0666666666667
"6","DoubleHets","6_D_10","20 cps",1348.21301433094,33774.4695627986,21.5630728211965,71.154807532078,10.0421778647691,7.98200299950008,71.0381603066156,5.63529411764706,16.9971671388102,168.997663365348,66.1889685052491,12.2146308948509,5.69905015830695,15.8973504415931
"6","DoubleHets","6_D_2","0 cps",1187.9204835,40924.1196036905,30.6448925179137,30.6448925179137,19.0665399170282,12.7145475754041,NA,17.3409090909091,8.79853357773704,312.139834783006,47.1166666666667,7.28333333333333,10.5166666666667,35.0833333333333
"6","DoubleHets","6_D_2","10 cps",1176.63267483333,88877.6816914153,68.9166666666667,63.65,30.3303940060973,27.9166666666667,62.1333333333333,6.78137651821862,49.4,152.580256217242,0.4,2.26666666666667,13.6166666666667,83.7166666666667
"6","DoubleHets","6_D_2","20 cps",582.38237493751,63217.7722655407,39.9600066655557,40.8431928011998,11.8245284151419,15.7307115480753,40.8098650224963,5.61904761904762,33.5944009331778,165.012511054192,43.7927012164639,4.18263622729545,17.8636893851025,34.1609731711381
"6","DoubleHets","6_D_3","0 cps",883.335361,38311.7854081198,35.3774370938177,35.3774370938177,49.2882376663523,11.8980169971671,NA,8.70731707317073,16.3972671221463,124.383594060665,12.0333333333333,10.65,25.5166666666667,51.8
"6","DoubleHets","6_D_3","10 cps",1641.85721183333,40417.5466282432,33.5166666666667,25.1333333333333,5.59966646737589,13.5833333333333,24.2166666666667,7.40909090909091,22,147.272730231176,69.9666666666667,6.36666666666667,7.23333333333333,16.4333333333333
"6","DoubleHets","6_D_3","20 cps",864.592588735211,82353.3606313119,58.356940509915,75.3541076487252,30.9974068207178,22.8795200799867,75.2541243126146,5.34241245136187,51.3914347608732,133.032683447412,0,0,30.3449425095817,69.6550574904183
"6","DoubleHets","6_D_4","0 cps",1374.1617025,33413.2618770799,25.0291618063656,25.0291618063656,54.4328851445515,8.31528078653558,NA,7.796875,12.797867022163,128.932421129121,22.5833333333333,6.16666666666667,4.23333333333333,67.0166666666667
"6","DoubleHets","6_D_4","10 cps",475.736040833333,44446.601058774,35.95,39.7,21.6234578901971,12.9666666666667,39.5333333333333,4.98717948717949,31.2,104.332650669929,45.05,0.466666666666667,2.2,52.2833333333333
"6","DoubleHets","6_D_4","20 cps",1597.72983402766,43814.5679741848,29.3784369271788,57.3904349275121,13.8247953218489,12.2479586735544,57.3071154807532,5.65384615384615,25.9956673887685,154.991707269841,37.427095484086,20.5965672387935,26.2122979503416,15.7640393267789
"6","DoubleHets","6_D_5","0 cps",1348.62160966667,42726.4632250295,19.7800366605566,19.7800366605566,21.1250793057367,8.33194467588735,NA,10.8695652173913,9.19846692217964,424.454284756589,38.6166666666667,3.3,40.9166666666667,17.1666666666667
"6","DoubleHets","6_D_5","10 cps",980.351572833333,167405.73599046,76.05,50.2,6.75659872212488,30.9333333333333,44.3333333333333,7.93162393162393,46.8,298.105954503925,29.55,8.4,24.9833333333333,37.0666666666667
"6","DoubleHets","6_D_5","20 cps",778.284931344776,229509.764751747,72.1546408931845,65.8890184969172,8.56900222971714,31.4780869855024,62.9395100816531,6.03514376996805,62.5895684052658,247.731407374456,7.79870021663056,7.29878353607732,26.0789868355274,58.8235294117647
"6","DoubleHets","6_D_6","0 cps",950.052590166667,36614.0139558323,15.0974837527079,15.0974837527079,5.29380887481883,6.14897517080487,NA,13.6666666666667,5.399100149975,535.063555746224,73.4,22.2166666666667,2.58333333333333,1.8
"6","DoubleHets","6_D_6","10 cps",1063.5287405,138110.702631988,78.7833333333333,57.3333333333333,13.6024066689548,31.3666666666667,51.5833333333333,8.87735849056604,42.4,278.585926872007,12.65,7.93333333333333,18.15,61.2666666666667
"6","DoubleHets","6_D_6","20 cps",1402.38000766539,268843.886790156,70.5215797367105,63.606065655724,6.976987948066,30.1616397267122,60.2232961173138,5.48484848484848,65.9890018330278,265.641820710928,8.7652057990335,7.46542242959507,26.1789701716381,57.5904015997334
"6","DoubleHets","6_D_7","0 cps",440.258551333333,41729.166574639,23.7793701049825,23.7793701049825,30.2426948577722,9.99833361106482,NA,14.975,7.99866688885186,450.984491053727,16.0666666666667,6.53333333333333,37.5,39.9
"6","DoubleHets","6_D_7","10 cps",1370.63413883333,180332.791041579,79.2666666666667,59.8833333333333,9.50215616133154,34.1833333333333,52.7166666666667,8.65400843881856,47.4,322.816335570782,14.3666666666667,7.31666666666667,27.15,51.1666666666667
"6","DoubleHets","6_D_7","20 cps",1369.56947908682,259994.048306517,70.8381936343943,64.9558406932178,7.57597053304567,31.8113647725379,61.8396933844359,5.965625,63.9893351108149,309.843538765504,6.38226962172971,6.24895850691551,30.2616230628229,57.1071488085319
"6","DoubleHets","6_D_8","0 cps",1123.38882466667,31556.6219085991,13.5310781536411,13.5310781536411,58.7091664551052,6.06565572404599,NA,14,5.19913347775371,458.972576722855,11.8166666666667,9.93333333333333,39,39.25
"6","DoubleHets","6_D_8","10 cps",1309.02648616667,159463.566129495,78.95,55.75,12.0712702028899,32.7166666666667,50.9666666666667,8.76339285714286,44.8,288.432833070598,9.81666666666667,7.61666666666667,24.6666666666667,57.9
"6","DoubleHets","6_D_8","20 cps",1403.46259256791,230160.876099397,71.0214964172638,62.6562239626729,7.94252068509873,31.4780869855024,59.5900683219463,5.72424242424242,65.9890018330278,219.200432471243,11.6980503249458,7.54874187635394,23.8960173304449,56.8571904682553
