 ,Label,Area,X,Y
160,33.0,4543,246.049,467.118
161,33.0,3768,85.206,740.110
162,33.0,4627,361.511,1384.472
163,33.0,3941,163.328,1479.690
164,33.0,3645,283.294,1726.867
165,34.0,4442,257.737,443.388
166,34.0,3897,94.676,790.061
167,34.0,4459,347.012,1433.718
168,34.0,4003,168.354,1462.827
169,34.0,3621,284.755,1725.337
170,35.0,4483,265.756,427.414
171,35.0,4008,102.065,829.774
172,35.0,4396,338.786,1464.927
173,35.0,4048,171.586,1452.623
174,35.0,3640,284.958,1724.399
175,36.0,4601,276.393,408.797
176,36.0,3776,115.547,880.915
177,36.0,4000,174.759,1440.565
178,36.0,4301,329.297,1501.435
179,36.0,3569,286.146,1722.336
180,37.0,4587,282.951,396.245
181,37.0,3761,122.966,912.609
182,37.0,3989,177.174,1431.996
183,37.0,4134,312.676,1538.050
184,37.0,3623,287.669,1721.703
185,38.0,4564,291.426,382.260
186,38.0,3789,132.839,950.488
187,38.0,4001,179.426,1423.688
188,38.0,4537,277.269,1601.081
189,38.0,3667,289.652,1722.555
190,39.0,4530,298.403,372.295
191,39.0,3770,139.664,976.675
192,39.0,4009,182.224,1416.922
193,39.0,4926,249.247,1639.490
194,39.0,3623,291.719,1722.020
195,40.0,4532,306.378,359.318
196,40.0,3688,146.468,1007.278
197,40.0,3940,192.356,1400.777
198,40.0,4745,211.901,1684.150
199,40.0,3572,293.819,1720.196
200,41.0,4529,311.355,350.214
201,41.0,3654,151.308,1026.423
202,41.0,3902,197.630,1387.895
203,41.0,4680,188.686,1711.251
204,41.0,3558,295.197,1718.008
205,42.0,4676,317.683,340.050
206,42.0,3698,157.067,1050.491
207,42.0,3876,201.973,1372.811
208,42.0,3618,296.218,1715.549
209,42.0,4727,162.179,1741.690
210,43.0,4693,322.724,332.665
211,43.0,3665,160.371,1067.444
212,43.0,3886,205.810,1363.132
213,43.0,3598,296.019,1714.359
214,43.0,4710,146.131,1760.106
215,44.0,4537,333.148,314.548
216,44.0,3678,164.821,1086.840
217,44.0,3861,211.318,1352.977
218,44.0,3536,295.753,1713.143
219,44.0,4428,126.312,1786.150
220,45.0,4549,337.921,297.744
221,45.0,3711,167.882,1100.789
222,45.0,3881,215.656,1346.220
223,45.0,3533,296.629,1712.729
