"Group","Timepoint","Flowspeed","n","Avg_YPosition [px]","sdY","seY","Distance [px]","sdD","seD","Activity [%]","sdA","seA","Flow-Adjusted Activity [%]","sdAFA","seAFA","Efficiency","sdE","seE","Swimming Against Flow [%]","sdDr","seDr","Flow-Adjusted Swimming Against Flow [%]","sdDrFAE","seDrFAE","Burst Duration [frames]","sdL","seL","Burst Frequency [bursts/min]","sdF","seF","Burst Amplitude [pixels]","sdAmp","seAmp","Time in Y-Quadrant 1 [%]","sdTY1Q","seTY1Q","Time in Y-Quadrant 2 [%]","sdTY2Q","seTY2Q","Time in Y-Quadrant 3 [%]","sdTY3Q","seTY3Q","Time in Y-Quadrant 4 [%]","sdTY4Q","seTY4Q"
"DoubleHets","6","0 cps",10,1094.42986025,296.522398516687,93.7686156568865,38521.5335458325,4214.82218600053,1332.84380403715,24.2876187302116,8.66180088318615,2.73910194297263,24.2876187302116,8.66180088318615,2.73910194297263,33.8482425312992,17.0116706025784,5.37956259086768,9.26512247958673,2.76430882330451,0.87415120377422,NA,NA,NA,11.6895350694203,3.33166571274041,1.0535652054548,10.0583236127312,3.55849543994352,1.12529506335444,310.061598315351,150.254479470671,47.5146383770331,31.685,19.2977249506672,6.1024764503569,8.39666666666667,5.607115188824,1.77312550996089,19.2416666666667,15.1070036288463,4.77725400875833,40.6766666666667,20.4313397009425,6.46095691036017
"DoubleHets","6","10 cps",10,1138.57754375,337.787281710512,106.817717484216,111468.207574037,57198.2736562613,18087.6822983393,63.0916666666667,18.882986414387,5.97132460954792,48.725,12.6749759539061,4.00817933022088,13.9040573182147,7.94124712575829,2.51124283796618,25.3766666666667,8.14057889166109,2.57427707699381,45.29,11.1553984052676,3.52764671672557,7.66055100317942,1.14640329187236,0.362524551943144,39.3,9.86317505787169,3.11900981438376,224.513176151466,83.4814044860322,26.399138044566,28.4033333333333,21.8465450555505,6.90848413810293,5.86166666666666,3.08175685423785,0.974537085422712,15.4766666666667,8.81757224222822,2.78836117185191,50.2583333333333,18.2344983208298,5.7662546684338
"DoubleHets","6","20 cps",10,1201.25754774204,333.18953974097,105.363783812465,151018.178424666,100738.070154536,31856.1748778163,54.5675720713215,19.847546769953,6.27634537597695,63.5310781536411,9.70569237676702,3.06920941795169,13.3589072192424,8.83855208861217,2.79499558180528,23.1161473087819,9.33345022749554,2.95149611467026,61.9880019996667,9.79068521881022,3.09608651451843,5.70370645758271,0.208431637646188,0.0659118711400851,48.4519246792201,19.0151961936492,6.01313301268956,209.06750895234,58.9277869616166,18.6346024271882,20.5299116813864,21.2750108665833,6.72774915832358,7.61539743376104,5.57286347957828,1.76229416846386,24.7975337443759,7.82364212107065,2.47405287006141,47.0571571404766,18.6482488581578,5.89709407654129
"DoubleMutants","6","0 cps",10,996.057431816667,252.777480105804,79.9352578332241,140050.640169318,31182.1638884913,9860.66602602854,71.5464089318447,4.92237520640845,1.55659171501922,71.5464089318447,4.92237520640845,1.55659171501922,8.58364594162729,5.54879824099239,1.75468407182718,33.211131478087,2.17623844965882,0.688187023255556,NA,NA,NA,22.8243134655098,5.82262122567286,1.84127450255675,18.5569071821363,4.97448777070313,1.57307115480753,718.704889709342,78.9294295657935,24.9596771845742,32.62,17.733395641773,5.60779208769061,16.015,1.34008591027352,0.423772373676436,17.95,6.40710446725516,2.0261043323166,33.415,12.3581668153912,3.90799548409459
"DoubleMutants","6","10 cps",10,1459.21465988333,48.3029264017698,15.2747265081074,139873.597708874,28009.0125246329,8857.2274590023,81.0633333333333,3.43652135339587,1.08672347045354,62.4183333333333,2.49502529738034,0.788996275946081,15.8023898463592,3.40356665402883,1.07630227949294,33.4083333333333,1.94922032529504,0.616397588942663,56.3216666666667,2.28089285636616,0.721281652492435,8.39616899551376,0.452004833334652,0.14293647867423,47.8,2.70801280154532,0.856348838577675,271.383786448946,47.5259510088835,15.0290253153649,5.31666666666667,0.965196839132622,0.305222040205422,7.415,2.83914925964073,0.897817827764546,26.8483333333333,5.08663493267127,1.60853520130184,60.42,7.16314642225515,2.26518579076125
"DoubleMutants","6","20 cps",10,1362.49479860024,69.5158996570839,21.9828576512103,152333.15519612,27493.4185365627,8694.18232398314,88.328611898017,0.954013122979183,0.301685438630454,61.3481086485586,1.8298817132879,0.578659406268096,12.4468202420119,1.78750994970654,0.56526027812857,37.2704549241793,2.09420887546495,0.662246994260916,60.1733044492585,2.21124502574701,0.699257074607822,7.68290779922051,0.252283175063059,0.0797789448538259,58.2102982836194,2.57716625130723,0.814971526304875,244.358088381799,42.9011077046439,13.5665214490873,5.18413597733711,2.45359321596467,0.775894301398577,10.9065155807365,4.26335295551354,1.34819058086333,37.2354607565406,3.25125961840903,1.02813856587024,46.6738876853858,5.81836506328879,1.83992858583423
"Syt11aSingleMutants","6","0 cps",10,953.010037416667,209.721682438995,66.3198191229762,73406.6943508433,43402.5906252872,13725.1042727779,57.2037993667722,29.3267470502234,9.27393170423302,57.2037993667722,29.3267470502234,9.27393170423302,20.585297651068,22.0353112754476,6.96817725812045,26.4739210131645,15.5122105366257,4.90539168398,NA,NA,NA,19.929164485942,6.45014432468172,2.03971473028029,14.657557073821,5.44462079999924,1.72174027239257,381.306506866813,188.727666657978,59.6809284128229,25.2866666666667,13.052779373862,4.12765126170703,28.4883333333333,4.70902764464435,1.48912529217742,24.07,9.28268266886596,2.9354420030187,22.155,12.2490615664736,3.87349337496864
"Syt11aSingleMutants","6","10 cps",10,847.2066349,260.205221244451,82.2841158200499,90375.9226846601,9903.49298264241,3131.75946166444,73.2566666666667,11.3392636989607,3.58579002779817,47.76,9.42215408780396,2.97954673825266,8.38334250561425,4.59618056143301,1.45343991115198,28.05,5.37890828337755,1.70096015006195,45.8066666666667,9.15802353467866,2.89602132350106,8.88197798349195,0.886607567433316,0.280369930383061,38.16,8.09158685164893,2.55878443362816,221.254509378397,52.9433604050721,16.7421605863203,35.8,18.8785134903397,5.96991014676886,20.7366666666667,9.17130118533345,2.90022008530558,24.5266666666667,8.46067227285407,2.67549949184525,18.9366666666667,12.1873664601737,3.85398366932928
"Syt11aSingleMutants","6","20 cps",10,860.610414480921,292.982571778817,92.649224155483,91654.2977321309,21945.5181110126,6939.78216632758,61.1381436427262,24.6484059528394,7.79451035034255,47.51208131978,12.2491987668944,3.87353676155123,8.50860601273964,4.45304062403578,1.40817508852106,23.6410598233628,11.107084856298,3.51236863106657,47.1388101983003,12.166609312205,3.84741968279823,7.52121469967452,0.927956480407376,0.293445604760072,37.6537243792701,16.9074156853644,5.34659429130082,251.633825719315,82.5340301754596,26.0995519827519,39.1284785869022,22.1701473812316,7.01081617863091,13.2611231461423,8.3794155838438,2.6498038706056,21.2597900349942,9.90676841178623,3.13279524330534,26.3506082319613,14.4425887246889,4.56714756790833
"Syt11bSingleMutants","6","0 cps",3,1037.91116127778,316.12622416715,182.515560620804,24601.533539106,2293.91618300551,1324.39312575667,15.3252235738488,0.983216543761596,0.567660336212451,15.3252235738488,0.983216543761596,0.567660336212451,45.8585484958266,26.543692818985,15.3250081943277,5.09915014164306,0.916362411922515,0.529062085198719,NA,NA,NA,10.4976851851852,0.940974357657818,0.543271798694276,5.7990334944176,0.529062085198722,0.305454137307507,123.886183489924,32.6454374314166,18.8478520888415,22.0055555555555,20.3714828820784,11.7614811257598,27.8333333333334,10.619596665285,6.13122699338758,21.8166666666667,9.30059735238073,5.36970238502133,28.3444444444444,16.2417015848208,9.37715078209385
"Syt11bSingleMutants","6","10 cps",3,1142.37463872222,347.215185219379,200.464780653134,21108.2616609279,475.949882208978,274.789792614124,13.1888888888889,2.75006733924287,1.58775211860147,81.8055555555556,7.22853783688369,4.17339826597219,66.0859628512048,42.2958987664569,24.4195485384311,5.29444444444444,1.98496664772802,1.1460210283982,81.1944444444444,7.14481811706401,4.12506266319782,11.5858585858586,3.19554518504915,1.84494887279574,5.4,1.2,0.692820323027551,114.97767136431,15.2451309308321,8.801780446747,20.3277777777778,18.2822419404834,10.555257305728,16.0611111111111,13.1276672774773,7.57926223648335,30.1111111111111,9.80136517324294,5.65882082119763,33.5,22.7417078905208,13.129931172424
"Syt11bSingleMutants","6","20 cps",3,1291.3036083986,106.119888302719,61.2683460779478,18268.7325373693,1356.19249278609,782.998100782999,9.27623173915459,3.23988751683606,1.87054992998941,94.3898239182359,3.51668608207218,2.03035965613979,91.2781212976878,8.2258815428992,4.74921492311482,3.38276953841026,2.61081190606142,1.50735295676804,94.0398822418486,3.45478771939726,1.99462261978702,9.45690631808279,5.31776059372846,3.07021051027511,3.99933344442593,0.871634516288752,0.50323842261428,118.616098715841,56.4719561180288,32.6040990664087,9.01516413931011,3.30781351707674,1.90976702451334,15.975115258568,2.58469404450422,1.49227380236733,36.9382880631006,14.6520068240615,8.45934008404011,38.0714325390213,12.5967247120633,7.27272240341734
"Wildtype","6","0 cps",5,1295.10165063333,154.502521863982,69.0956283166021,83707.7538666929,13236.4869175307,5919.53690617707,43.7293784369272,6.26618078895397,2.80232124068087,43.7293784369272,6.26618078895397,2.80232124068087,21.0756809425423,7.71137393173146,3.44863126225428,19.0934844192635,3.32674007324911,1.48776338945153,NA,NA,NA,18.6398091270964,2.89830692349426,1.29616226011829,12.4779203466089,2.55535187613743,1.14278810029498,608.659056976891,96.2370892331353,43.0385346964007,14.9166666666667,9.33887484300617,4.17647179646489,12.2166666666667,5.10823137473017,2.28447051973877,24.3566666666667,6.6964397671864,2.99473890533233,48.5133333333333,10.945524199416,4.89498723185261
"Wildtype","6","10 cps",5,1245.03116593333,135.06440221091,60.4026369367937,186444.596508739,21113.6159421216,9442.29609948143,39.6166666666666,0.959890039998795,0.429275876072459,68.5533333333333,6.6961887999402,2.9946266693678,8.37047588625029,1.37757971322364,0.616072376638547,13.77,1.04890154182576,0.469083029845347,61.6733333333333,5.93689733783564,2.65506120456761,4.90610361090677,0.32077863919607,0.143456568594458,33.68,1.23773987574126,0.553534100123922,294.711595070414,33.4024620083613,14.93803513331,16.1533333333333,7.75721348881872,3.46913133539539,7.69,1.90060662830465,0.849977123875172,28.96,4.33478501325167,1.93857479149561,47.1966666666667,9.0413663544597,4.04342195561027
"Wildtype","6","20 cps",5,1101.58861666389,435.731725541941,194.865151653012,75021.9161076906,16383.7280679985,7327.02593698318,22.8428595234128,1.72651886923969,0.772122711211205,68.5985669055158,26.0811764744959,11.6638567060282,16.8615375428316,8.21203894593488,3.67253546339722,6.96883852691218,2.07280966875871,0.926988664752659,67.0821529745043,25.7440711895347,11.5130986394787,4.41084708222702,0.304213820452619,0.136048556445394,19.2367938676887,6.26537420576559,2.80196052571312,240.53798690806,27.6509689330253,12.3658892355959,24.572571238127,28.7963449730097,12.8781169726368,7.61539743376104,0.945519713286091,0.422849270594762,28.5119146808865,13.8470202657238,6.19257571999513,39.3001166472255,18.7992772413445,8.40729236790222
